"Common.Name","Genus","Species","Family","Fish.Code","Symbol","TNS.Field","MWT.Species.Code","MWT.Field","NBAView","AdFinPresent","ReleasedAlive","FieldRace","FinalRace"
"Rock Sole","Lepidopsetta","bilineata","Pleuronectidae",NA,NA,NA,85,"ROCKSOLE",FALSE,FALSE,FALSE,FALSE,FALSE
"Wolf Eel","Anarrhichthys","ocellatus","Anarhichadidae",NA,NA,NA,87,"WOLFEEL",FALSE,FALSE,FALSE,FALSE,FALSE
"Pacific Electric Ray","Torpedo","californica","Torpedinidae",NA,NA,NA,91,"PACELRAY",FALSE,FALSE,FALSE,FALSE,FALSE
"Dwarf Surfperch","Micrometrus","minimus","Embiotocidae",NA,NA,NA,50,"DWFPERCH",FALSE,FALSE,FALSE,FALSE,FALSE
"Grey Smoothhound","Mustelus","californica","Triakidae",NA,NA,NA,67,"GRYSMHND",FALSE,FALSE,FALSE,FALSE,FALSE
"Lingcod","Ophiodon","elongatus","Hexagrammidae",NA,NA,NA,86,"LINGCOD",FALSE,FALSE,FALSE,FALSE,FALSE
"Rubberlip Seaperch","Rhacochilus","toxotes","Embiotocidae",NA,NA,NA,44,"RUBLPRCH",FALSE,FALSE,FALSE,FALSE,FALSE
"Broadnose Sevengill Shark","Notorynchus","cepodianus","Hexanchidae",NA,NA,NA,56,"SEVNGSHK",FALSE,FALSE,FALSE,FALSE,FALSE
"Spotfin Surfperch","Hyperprosopon","anale","Embiotocidae",NA,NA,NA,89,"SPTFPRCH",FALSE,FALSE,FALSE,FALSE,FALSE
"White Seaperch","Phanerodon","furcatus","Embiotocidae",NA,NA,NA,90,"WHTSPRCH",FALSE,FALSE,FALSE,FALSE,FALSE
"Striped Bass Adult2","Morone","saxatilis","Moronidae",NA,NA,NA,35,"STPBASS2",FALSE,FALSE,FALSE,FALSE,FALSE
"Calico Surfperch","Amphistichus","koelzi","Embiotocidae",NA,NA,NA,45,"CALSPRCH",FALSE,FALSE,FALSE,FALSE,FALSE
"Redtail Surfperch","Amphistichus","rhodoterus","Embiotocidae",NA,NA,NA,46,"RTLSPRCH",FALSE,FALSE,FALSE,FALSE,FALSE
"Barred Surfperch","Amphistichus","argenteus","Embiotocidae",NA,NA,NA,48,"BRDSPRCH",FALSE,FALSE,FALSE,FALSE,FALSE
"Warmouth","Lepomis","gulosus","Centrarchidae",17,"WAM",NA,54,"WARMOUTH",TRUE,FALSE,FALSE,FALSE,FALSE
